datetime,datetime_nano,DCE.a2211.open,DCE.a2211.high,DCE.a2211.low,DCE.a2211.close,DCE.a2211.volume,DCE.a2211.open_oi,DCE.a2211.close_oi
2022-02-16 00:00:00.000000000,1644940800000000000,5960.0,5966.0,5909.0,5923.0,5393,15763,17209
2022-02-17 00:00:00.000000000,1645027200000000000,5932.0,5989.0,5902.0,5940.0,7947,17209,19038
2022-02-18 00:00:00.000000000,1645113600000000000,5939.0,5967.0,5872.0,5929.0,8425,19038,19517
2022-02-21 00:00:00.000000000,1645372800000000000,5928.0,6005.0,5914.0,5932.0,10834,19517,20980
2022-02-22 00:00:00.000000000,1645459200000000000,5932.0,5978.0,5888.0,5925.0,9003,20980,21172
2022-02-23 00:00:00.000000000,1645545600000000000,5901.0,5922.0,5860.0,5912.0,9392,21172,21442
2022-02-24 00:00:00.000000000,1645632000000000000,5900.0,5993.0,5798.0,5977.0,17200,21442,21749
2022-02-25 00:00:00.000000000,1645718400000000000,6006.0,6179.0,5958.0,6009.0,11694,21749,22388
2022-02-28 00:00:00.000000000,1645977600000000000,5932.0,5981.0,5871.0,5914.0,12080,22388,21984
2022-03-01 00:00:00.000000000,1646064000000000000,5912.0,6066.0,5902.0,6047.0,11698,21984,23882
2022-03-02 00:00:00.000000000,1646150400000000000,6060.0,6100.0,6018.0,6075.0,13459,23882,24614
2022-03-03 00:00:00.000000000,1646236800000000000,6073.0,6127.0,6059.0,6088.0,9028,24614,24693
2022-03-04 00:00:00.000000000,1646323200000000000,6087.0,6105.0,5967.0,5996.0,22162,24693,23397
2022-03-07 00:00:00.000000000,1646582400000000000,5998.0,6050.0,5983.0,6013.0,14631,23397,22822
2022-03-08 00:00:00.000000000,1646668800000000000,6013.0,6028.0,5905.0,5987.0,13433,22822,21947
2022-03-09 00:00:00.000000000,1646755200000000000,5989.0,6076.0,5945.0,6040.0,21386,21947,21046
2022-03-10 00:00:00.000000000,1646841600000000000,6028.0,6028.0,5923.0,5926.0,18244,21046,20706
2022-03-11 00:00:00.000000000,1646928000000000000,5965.0,5997.0,5913.0,5923.0,16472,20706,21110
2022-03-14 00:00:00.000000000,1647187200000000000,5923.0,5927.0,5856.0,5870.0,12629,21110,22104
2022-03-15 00:00:00.000000000,1647273600000000000,5870.0,5940.0,5860.0,5902.0,15674,22104,21942
2022-03-16 00:00:00.000000000,1647360000000000000,5902.0,5998.0,5857.0,5998.0,11144,21942,21768
2022-03-17 00:00:00.000000000,1647446400000000000,6008.0,6035.0,5934.0,5977.0,11923,21768,21951
2022-03-18 00:00:00.000000000,1647532800000000000,5980.0,6036.0,5905.0,5948.0,11853,21951,21084
2022-03-21 00:00:00.000000000,1647792000000000000,5951.0,6005.0,5891.0,5964.0,7551,21084,21020
2022-03-22 00:00:00.000000000,1647878400000000000,5980.0,6020.0,5944.0,6020.0,9010,21020,20782
2022-03-23 00:00:00.000000000,1647964800000000000,6001.0,6005.0,5912.0,5955.0,10876,20782,20392
2022-03-24 00:00:00.000000000,1648051200000000000,5958.0,5988.0,5914.0,5920.0,12525,20392,20624
2022-03-25 00:00:00.000000000,1648137600000000000,5920.0,5957.0,5915.0,5925.0,11597,20624,21325
2022-03-28 00:00:00.000000000,1648396800000000000,5939.0,5968.0,5876.0,5876.0,9295,21325,21536
2022-03-29 00:00:00.000000000,1648483200000000000,5853.0,5904.0,5853.0,5887.0,9153,21536,21296
2022-03-30 00:00:00.000000000,1648569600000000000,5855.0,5923.0,5855.0,5911.0,10313,21296,20345
2022-03-31 00:00:00.000000000,1648656000000000000,5911.0,5980.0,5911.0,5980.0,11250,20345,19012
2022-04-01 00:00:00.000000000,1648742400000000000,5976.0,5994.0,5911.0,5991.0,7095,19012,16814
2022-04-06 00:00:00.000000000,1649174400000000000,6002.0,6014.0,5957.0,5960.0,3935,16814,16064
2022-04-07 00:00:00.000000000,1649260800000000000,5990.0,5990.0,5888.0,5898.0,8083,16064,15078
2022-04-08 00:00:00.000000000,1649347200000000000,5910.0,5946.0,5901.0,5933.0,6625,15078,14323
2022-04-11 00:00:00.000000000,1649606400000000000,5940.0,5975.0,5926.0,5941.0,5577,14323,13667
2022-04-12 00:00:00.000000000,1649692800000000000,5941.0,5948.0,5905.0,5911.0,6326,13667,13200
2022-04-13 00:00:00.000000000,1649779200000000000,5917.0,5925.0,5905.0,5915.0,4464,13200,13162
2022-04-14 00:00:00.000000000,1649865600000000000,5904.0,5920.0,5882.0,5916.0,6793,13162,13183
2022-04-15 00:00:00.000000000,1649952000000000000,5910.0,5967.0,5879.0,5956.0,8420,13183,13147
2022-04-18 00:00:00.000000000,1650211200000000000,5949.0,5960.0,5900.0,5903.0,5414,13147,13065
2022-04-19 00:00:00.000000000,1650297600000000000,5903.0,5916.0,5868.0,5906.0,8009,13065,13194
2022-04-20 00:00:00.000000000,1650384000000000000,5885.0,5918.0,5850.0,5902.0,11640,13194,13344
2022-04-21 00:00:00.000000000,1650470400000000000,5900.0,5915.0,5849.0,5849.0,8239,13344,13826
2022-04-22 00:00:00.000000000,1650556800000000000,5850.0,5864.0,5844.0,5852.0,6335,13826,14178
2022-04-25 00:00:00.000000000,1650816000000000000,5860.0,5880.0,5812.0,5833.0,18620,14178,14041
2022-04-26 00:00:00.000000000,1650902400000000000,5840.0,5840.0,5800.0,5818.0,9201,14041,14951
2022-04-27 00:00:00.000000000,1650988800000000000,5818.0,5822.0,5773.0,5780.0,9451,14951,15874
2022-04-28 00:00:00.000000000,1651075200000000000,5792.0,5844.0,5774.0,5826.0,11883,15874,15382
2022-04-29 00:00:00.000000000,1651161600000000000,5840.0,5877.0,5804.0,5862.0,10035,15382,16280
2022-05-05 00:00:00.000000000,1651680000000000000,5867.0,5878.0,5780.0,5806.0,7057,16280,16674
2022-05-06 00:00:00.000000000,1651766400000000000,5809.0,5851.0,5806.0,5807.0,9696,16674,16957
2022-05-09 00:00:00.000000000,1652025600000000000,5815.0,5840.0,5796.0,5828.0,10012,16957,16804
2022-05-10 00:00:00.000000000,1652112000000000000,5824.0,5839.0,5783.0,5827.0,9948,16804,16806
2022-05-11 00:00:00.000000000,1652198400000000000,5822.0,5822.0,5777.0,5780.0,10185,16806,18883
2022-05-12 00:00:00.000000000,1652284800000000000,5796.0,5859.0,5772.0,5848.0,14404,18883,18513
2022-05-13 00:00:00.000000000,1652371200000000000,5847.0,5918.0,5847.0,5900.0,13094,18513,19630
2022-05-16 00:00:00.000000000,1652630400000000000,5910.0,5950.0,5902.0,5926.0,13031,19630,20999
2022-05-17 00:00:00.000000000,1652716800000000000,5930.0,5930.0,5882.0,5899.0,11878,20999,23486
2022-05-18 00:00:00.000000000,1652803200000000000,5902.0,5948.0,5879.0,5892.0,9219,23486,24464
2022-05-19 00:00:00.000000000,1652889600000000000,5890.0,5916.0,5875.0,5915.0,6792,24464,24421
2022-05-20 00:00:00.000000000,1652976000000000000,5889.0,5936.0,5889.0,5931.0,7589,24421,25335
2022-05-23 00:00:00.000000000,1653235200000000000,5940.0,5959.0,5910.0,5951.0,10073,25335,25917
2022-05-24 00:00:00.000000000,1653321600000000000,5956.0,6011.0,5951.0,6005.0,10000,25917,26740
2022-05-25 00:00:00.000000000,1653408000000000000,6006.0,6044.0,5980.0,6003.0,11377,26740,27206
2022-05-26 00:00:00.000000000,1653494400000000000,5982.0,6037.0,5976.0,5995.0,13374,27206,28249
2022-05-27 00:00:00.000000000,1653580800000000000,5995.0,6103.0,5991.0,6077.0,15962,28249,28757
2022-05-30 00:00:00.000000000,1653840000000000000,6077.0,6137.0,6050.0,6092.0,19606,28757,29718
2022-05-31 00:00:00.000000000,1653926400000000000,6108.0,6108.0,6051.0,6074.0,13637,29718,29568
2022-06-01 00:00:00.000000000,1654012800000000000,6072.0,6082.0,5995.0,5999.0,11666,29568,29806
2022-06-02 00:00:00.000000000,1654099200000000000,5999.0,6068.0,5999.0,6050.0,10993,29806,30876
2022-06-06 00:00:00.000000000,1654444800000000000,6067.0,6067.0,5991.0,6004.0,9268,30876,30464
2022-06-07 00:00:00.000000000,1654531200000000000,5996.0,6011.0,5976.0,5983.0,8021,30464,30770
2022-06-08 00:00:00.000000000,1654617600000000000,5980.0,6023.0,5967.0,6007.0,13859,30770,31435
2022-06-09 00:00:00.000000000,1654704000000000000,6014.0,6044.0,5993.0,6014.0,13500,31435,32322
2022-06-10 00:00:00.000000000,1654790400000000000,5995.0,6016.0,5974.0,5983.0,7103,32322,32423
2022-06-13 00:00:00.000000000,1655049600000000000,5980.0,6011.0,5966.0,5980.0,8555,32423,32127
2022-06-14 00:00:00.000000000,1655136000000000000,5980.0,6019.0,5960.0,6018.0,10779,32127,32005
2022-06-15 00:00:00.000000000,1655222400000000000,6003.0,6020.0,5978.0,5993.0,9406,32005,32343
2022-06-16 00:00:00.000000000,1655308800000000000,5985.0,6029.0,5981.0,6017.0,13614,32343,33471
2022-06-17 00:00:00.000000000,1655395200000000000,6035.0,6036.0,5988.0,5998.0,12689,33471,32795
2022-06-20 00:00:00.000000000,1655654400000000000,5980.0,6012.0,5978.0,6006.0,16568,32795,34361
2022-06-21 00:00:00.000000000,1655740800000000000,6010.0,6010.0,5946.0,5976.0,14784,34361,35130
2022-06-22 00:00:00.000000000,1655827200000000000,5971.0,5997.0,5927.0,5937.0,15103,35130,35616
2022-06-23 00:00:00.000000000,1655913600000000000,5919.0,5919.0,5853.0,5858.0,25480,35616,37884
2022-06-24 00:00:00.000000000,1656000000000000000,5843.0,5893.0,5776.0,5782.0,27870,37884,40915
2022-06-27 00:00:00.000000000,1656259200000000000,5796.0,5832.0,5768.0,5793.0,20188,40915,41738
2022-06-28 00:00:00.000000000,1656345600000000000,5801.0,5893.0,5801.0,5860.0,18929,41738,41999
2022-06-29 00:00:00.000000000,1656432000000000000,5876.0,5896.0,5820.0,5821.0,18102,41999,42872
2022-06-30 00:00:00.000000000,1656518400000000000,5820.0,5881.0,5820.0,5840.0,11876,42872,42854
2022-07-01 00:00:00.000000000,1656604800000000000,5825.0,5854.0,5770.0,5814.0,21085,42854,40046
2022-07-04 00:00:00.000000000,1656864000000000000,5800.0,5836.0,5698.0,5761.0,28182,40046,38048
2022-07-05 00:00:00.000000000,1656950400000000000,5778.0,5778.0,5718.0,5726.0,17683,38048,36008
2022-07-06 00:00:00.000000000,1657036800000000000,5726.0,5726.0,5558.0,5661.0,31723,36008,35635
2022-07-07 00:00:00.000000000,1657123200000000000,5678.0,5740.0,5657.0,5705.0,21292,35635,35283
2022-07-08 00:00:00.000000000,1657209600000000000,5711.0,5749.0,5695.0,5702.0,12607,35283,34476
2022-07-11 00:00:00.000000000,1657468800000000000,5700.0,5732.0,5662.0,5670.0,15087,34476,34795
2022-07-12 00:00:00.000000000,1657555200000000000,5680.0,5709.0,5626.0,5683.0,16273,34795,35592
2022-07-13 00:00:00.000000000,1657641600000000000,5650.0,5681.0,5555.0,5602.0,22315,35592,35504
2022-07-14 00:00:00.000000000,1657728000000000000,5600.0,5675.0,5564.0,5667.0,25199,35504,33294
2022-07-15 00:00:00.000000000,1657814400000000000,5659.0,5712.0,5645.0,5673.0,17981,33294,32368
2022-07-18 00:00:00.000000000,1658073600000000000,5678.0,5794.0,5657.0,5676.0,24016,32368,32554
2022-07-19 00:00:00.000000000,1658160000000000000,5694.0,5733.0,5662.0,5669.0,18306,32554,32127
2022-07-20 00:00:00.000000000,1658246400000000000,5647.0,5685.0,5620.0,5677.0,15374,32127,32541
2022-07-21 00:00:00.000000000,1658332800000000000,5677.0,5678.0,5625.0,5641.0,11484,32541,33174
2022-07-22 00:00:00.000000000,1658419200000000000,5620.0,5639.0,5480.0,5546.0,27881,33174,37338
2022-07-25 00:00:00.000000000,1658678400000000000,5548.0,5573.0,5480.0,5493.0,21519,37338,41166
2022-07-26 00:00:00.000000000,1658764800000000000,5505.0,5657.0,5505.0,5637.0,26056,41166,39215
2022-07-27 00:00:00.000000000,1658851200000000000,5689.0,5689.0,5601.0,5653.0,15287,39215,38608
2022-07-28 00:00:00.000000000,1658937600000000000,5665.0,5761.0,5649.0,5736.0,24376,38608,37144
2022-07-29 00:00:00.000000000,1659024000000000000,5736.0,5800.0,5729.0,5799.0,21885,37144,37523
2022-08-01 00:00:00.000000000,1659283200000000000,5830.0,5918.0,5830.0,5909.0,34986,37523,39901
2022-08-02 00:00:00.000000000,1659369600000000000,5909.0,5909.0,5816.0,5861.0,20996,39901,39361
2022-08-03 00:00:00.000000000,1659456000000000000,5861.0,5896.0,5831.0,5862.0,18120,39361,41309
2022-08-04 00:00:00.000000000,1659542400000000000,5864.0,5879.0,5752.0,5772.0,18423,41309,41069
2022-08-05 00:00:00.000000000,1659628800000000000,5848.0,5848.0,5784.0,5841.0,15022,41069,41524
2022-08-08 00:00:00.000000000,1659888000000000000,5831.0,5837.0,5786.0,5822.0,13827,41524,41854
2022-08-09 00:00:00.000000000,1659974400000000000,5812.0,5843.0,5794.0,5817.0,13917,41854,42594
2022-08-10 00:00:00.000000000,1660060800000000000,5817.0,5864.0,5817.0,5844.0,11580,42594,42616
2022-08-11 00:00:00.000000000,1660147200000000000,5840.0,5869.0,5830.0,5860.0,15186,42616,43911
2022-08-12 00:00:00.000000000,1660233600000000000,5868.0,5906.0,5861.0,5875.0,18625,43911,45032
2022-08-15 00:00:00.000000000,1660492800000000000,5883.0,5909.0,5856.0,5863.0,23909,45032,45322
2022-08-16 00:00:00.000000000,1660579200000000000,5850.0,5883.0,5813.0,5847.0,24531,45322,46788
2022-08-17 00:00:00.000000000,1660665600000000000,5847.0,5864.0,5813.0,5848.0,23692,46788,47750
2022-08-18 00:00:00.000000000,1660752000000000000,5855.0,5885.0,5832.0,5862.0,23330,47750,50583
2022-08-19 00:00:00.000000000,1660838400000000000,5838.0,5861.0,5824.0,5840.0,22186,50583,51292
2022-08-22 00:00:00.000000000,1661097600000000000,5840.0,5875.0,5806.0,5807.0,25811,51292,52218
2022-08-23 00:00:00.000000000,1661184000000000000,5830.0,5862.0,5812.0,5851.0,36028,52218,56190
2022-08-24 00:00:00.000000000,1661270400000000000,5834.0,5904.0,5816.0,5824.0,71681,56190,65456
2022-08-25 00:00:00.000000000,1661356800000000000,5849.0,5870.0,5796.0,5860.0,80813,65456,71052
2022-08-26 00:00:00.000000000,1661443200000000000,5860.0,5976.0,5844.0,5948.0,139441,71052,90363
2022-08-29 00:00:00.000000000,1661702400000000000,5946.0,5965.0,5883.0,5927.0,101952,90363,83280
2022-08-30 00:00:00.000000000,1661788800000000000,5927.0,5979.0,5886.0,5893.0,90906,83280,81155
2022-08-31 00:00:00.000000000,1661875200000000000,5875.0,5898.0,5826.0,5835.0,90045,81155,77588
2022-09-01 00:00:00.000000000,1661961600000000000,5835.0,5859.0,5780.0,5835.0,131369,77588,80482
2022-09-02 00:00:00.000000000,1662048000000000000,5820.0,5879.0,5795.0,5806.0,96240,80482,82842
2022-09-05 00:00:00.000000000,1662307200000000000,5807.0,5851.0,5770.0,5774.0,110717,82842,88609
2022-09-06 00:00:00.000000000,1662393600000000000,5774.0,5805.0,5758.0,5763.0,78080,88609,93883
2022-09-07 00:00:00.000000000,1662480000000000000,5753.0,5800.0,5744.0,5768.0,85108,93883,92890
2022-09-08 00:00:00.000000000,1662566400000000000,5773.0,5820.0,5755.0,5760.0,82925,92890,89465
2022-09-09 00:00:00.000000000,1662652800000000000,5750.0,5756.0,5671.0,5684.0,128224,89465,104599
2022-09-13 00:00:00.000000000,1662998400000000000,5738.0,5929.0,5725.0,5893.0,151397,104599,85694
2022-09-14 00:00:00.000000000,1663084800000000000,5860.0,5885.0,5822.0,5857.0,99005,85694,81960
2022-09-15 00:00:00.000000000,1663171200000000000,5876.0,5892.0,5852.0,5880.0,70319,81960,86166
2022-09-16 00:00:00.000000000,1663257600000000000,5880.0,5920.0,5864.0,5883.0,78417,86166,87164
2022-09-19 00:00:00.000000000,1663516800000000000,5891.0,5950.0,5891.0,5936.0,98047,87164,90093
2022-09-20 00:00:00.000000000,1663603200000000000,5918.0,5954.0,5885.0,5942.0,76419,90093,90502
2022-09-21 00:00:00.000000000,1663689600000000000,5922.0,6034.0,5920.0,6033.0,125413,90502,105875
2022-09-22 00:00:00.000000000,1663776000000000000,6023.0,6046.0,5984.0,6038.0,83578,105875,108440
2022-09-23 00:00:00.000000000,1663862400000000000,6009.0,6082.0,5990.0,6075.0,95262,108440,113217
2022-09-26 00:00:00.000000000,1664121600000000000,6040.0,6065.0,5981.0,5994.0,105988,113217,106086
2022-09-27 00:00:00.000000000,1664208000000000000,6017.0,6044.0,6004.0,6023.0,64177,106086,104372
2022-09-28 00:00:00.000000000,1664294400000000000,6017.0,6061.0,5978.0,6003.0,87771,104372,99643
2022-09-29 00:00:00.000000000,1664380800000000000,6017.0,6106.0,5985.0,6071.0,98975,99643,104489
2022-09-30 00:00:00.000000000,1664467200000000000,6051.0,6075.0,6007.0,6024.0,71118,104489,93394
2022-10-10 00:00:00.000000000,1665331200000000000,6017.0,6039.0,5953.0,5971.0,79136,93394,83890
2022-10-11 00:00:00.000000000,1665417600000000000,5971.0,5992.0,5914.0,5922.0,75842,83890,69239
2022-10-12 00:00:00.000000000,1665504000000000000,5922.0,5928.0,5839.0,5861.0,105779,69239,50656
2022-10-13 00:00:00.000000000,1665590400000000000,5850.0,5885.0,5807.0,5832.0,76580,50656,41024
2022-10-14 00:00:00.000000000,1665676800000000000,5854.0,5877.0,5813.0,5839.0,77782,41024,30525
2022-10-17 00:00:00.000000000,1665936000000000000,5831.0,5884.0,5816.0,5841.0,74684,30525,23823
2022-10-18 00:00:00.000000000,1666022400000000000,5878.0,5878.0,5813.0,5856.0,50252,23823,19837
2022-10-19 00:00:00.000000000,1666108800000000000,5885.0,5952.0,5854.0,5859.0,36807,19837,12793
2022-10-20 00:00:00.000000000,1666195200000000000,5850.0,5859.0,5798.0,5807.0,20710,12793,11752
2022-10-21 00:00:00.000000000,1666281600000000000,5824.0,5834.0,5761.0,5834.0,17717,11752,10322
2022-10-24 00:00:00.000000000,1666540800000000000,5836.0,5836.0,5780.0,5801.0,9971,10322,8342
2022-10-25 00:00:00.000000000,1666627200000000000,5830.0,5830.0,5781.0,5806.0,5497,8342,5863
2022-10-26 00:00:00.000000000,1666713600000000000,5806.0,5807.0,5762.0,5767.0,2343,5863,4756
2022-10-27 00:00:00.000000000,1666800000000000000,5783.0,5784.0,5713.0,5755.0,2752,4756,3445
2022-10-28 00:00:00.000000000,1666886400000000000,5772.0,5772.0,5730.0,5739.0,1425,3445,3079
2022-10-31 00:00:00.000000000,1667145600000000000,5750.0,5769.0,5680.0,5687.0,1362,3079,2510
2022-11-01 00:00:00.000000000,1667232000000000000,5700.0,5751.0,5700.0,5713.0,177,2510,2480
2022-11-02 00:00:00.000000000,1667318400000000000,5655.0,5728.0,5655.0,5722.0,4,2480,2480
2022-11-03 00:00:00.000000000,1667404800000000000,5650.0,5728.0,5640.0,5728.0,39,2480,2510
2022-11-04 00:00:00.000000000,1667491200000000000,5730.0,5730.0,5725.0,5725.0,2,2510,2480
2022-11-07 00:00:00.000000000,1667750400000000000,5667.0,5736.0,5667.0,5736.0,2,2480,2480
2022-11-08 00:00:00.000000000,1667836800000000000,5579.0,5799.0,5579.0,5760.0,1143,2480,287
2022-11-09 00:00:00.000000000,1667923200000000000,5740.0,5760.0,5697.0,5760.0,290,287,286
2022-11-10 00:00:00.000000000,1668009600000000000,5690.0,5690.0,5690.0,5690.0,155,286,0
2022-11-11 00:00:00.000000000,1668096000000000000,5690.0,5690.0,5690.0,5690.0,0,0,0
2022-11-14 00:00:00.000000000,1668355200000000000,5745.0,5745.0,5745.0,5745.0,0,0,0
