datetime,datetime_nano,DCE.i1811.open,DCE.i1811.high,DCE.i1811.low,DCE.i1811.close,DCE.i1811.volume,DCE.i1811.open_oi,DCE.i1811.close_oi
2018-01-15 00:00:00.000000000,1515945600000000000,552.0,553.5,552.0,553.5,3,146,147
2018-01-16 00:00:00.000000000,1516032000000000000,551.0,554.5,545.5,545.5,26,147,143
2018-01-17 00:00:00.000000000,1516118400000000000,542.5,545.5,534.0,537.0,1277,143,138
2018-01-18 00:00:00.000000000,1516204800000000000,537.0,540.5,537.0,539.5,22,138,134
2018-01-19 00:00:00.000000000,1516291200000000000,538.5,543.5,538.5,543.0,23,134,135
2018-01-22 00:00:00.000000000,1516550400000000000,549.0,550.0,548.0,548.0,24,135,127
2018-01-23 00:00:00.000000000,1516636800000000000,546.5,546.5,528.5,530.5,35,127,133
2018-01-24 00:00:00.000000000,1516723200000000000,531.0,531.0,531.0,531.0,6,133,132
2018-01-25 00:00:00.000000000,1516809600000000000,541.0,543.0,540.5,543.0,14,132,135
2018-01-26 00:00:00.000000000,1516896000000000000,539.0,539.0,530.5,531.5,454,135,132
2018-01-29 00:00:00.000000000,1517155200000000000,530.5,530.5,528.0,528.0,18,132,141
2018-01-30 00:00:00.000000000,1517241600000000000,529.5,532.0,521.0,521.0,29,141,140
2018-01-31 00:00:00.000000000,1517328000000000000,529.0,529.0,516.5,518.5,178,140,104
2018-02-01 00:00:00.000000000,1517414400000000000,518.5,520.0,516.0,516.0,6,104,103
2018-02-02 00:00:00.000000000,1517500800000000000,518.5,523.0,517.0,520.0,58,103,111
2018-02-05 00:00:00.000000000,1517760000000000000,522.0,528.0,521.5,528.0,452,111,105
2018-02-06 00:00:00.000000000,1517846400000000000,530.0,530.0,522.0,523.0,18,105,104
2018-02-07 00:00:00.000000000,1517932800000000000,523.0,530.5,523.0,528.5,206,104,103
2018-02-08 00:00:00.000000000,1518019200000000000,529.5,529.5,527.5,527.5,58,103,85
2018-02-09 00:00:00.000000000,1518105600000000000,531.0,533.0,525.0,525.5,540,85,98
2018-02-12 00:00:00.000000000,1518364800000000000,527.5,528.0,527.5,528.0,102,98,98
2018-02-13 00:00:00.000000000,1518451200000000000,527.5,532.5,527.5,532.0,1410,98,87
2018-02-14 00:00:00.000000000,1518537600000000000,536.0,547.0,536.0,543.5,182,87,89
2018-02-22 00:00:00.000000000,1519228800000000000,540.0,545.0,540.0,545.0,139,89,89
2018-02-23 00:00:00.000000000,1519315200000000000,547.5,553.5,546.5,553.0,650,89,93
2018-02-26 00:00:00.000000000,1519574400000000000,552.5,561.0,551.5,553.5,1898,93,92
2018-02-27 00:00:00.000000000,1519660800000000000,553.0,557.0,548.0,557.0,198,92,93
2018-02-28 00:00:00.000000000,1519747200000000000,553.0,554.5,551.0,551.0,100,93,51
2018-03-01 00:00:00.000000000,1519833600000000000,551.5,553.0,551.5,552.5,463,51,49
